📡央视频道👉,#genre#
河北卫视,http://111.225.92.87:8800/hls/17/index.m3u8
浙江卫视,http://111.225.92.87:8800/hls/31/index.m3u8
江苏卫视,http://111.225.92.87:8800/hls/32/index.m3u8
安徽卫视,http://111.225.92.87:8800/hls/33/index.m3u8
北京卫视,http://111.225.92.87:8800/hls/34/index.m3u8
天津卫视,http://111.225.92.87:8800/hls/35/index.m3u8
辽宁卫视,http://111.225.92.87:8800/hls/36/index.m3u8
山东卫视,http://111.225.92.87:8800/hls/37/index.m3u8
河南卫视,http://111.225.92.87:8800/hls/39/index.m3u8
黑龙江卫视,http://111.225.92.87:8800/hls/40/index.m3u8
四川卫视,http://111.225.92.87:8800/hls/41/index.m3u8
江西卫视,http://111.225.92.87:8800/hls/42/index.m3u8
贵州卫视,http://111.225.92.87:8800/hls/43/index.m3u8
深圳卫视,http://111.225.92.87:8800/hls/44/index.m3u8
湖北卫视,http://111.225.92.87:8800/hls/45/index.m3u8
东方卫视,http://111.225.92.87:8800/hls/46/index.m3u8
重庆卫视,http://111.225.92.87:8800/hls/47/index.m3u8
东南卫视,http://111.225.92.87:8800/hls/48/index.m3u8
广东卫视,http://111.225.92.87:8800/hls/49/index.m3u8
广西卫视,http://111.225.92.87:8800/hls/50/index.m3u8
吉林卫视,http://111.225.92.87:8800/hls/51/index.m3u8
广西卫视,http://110.72.65.11:808/hls/9/index.m3u8
广西卫视,http://110.72.64.143:808/hls/9/index.m3u8
广西卫视,http://110.72.72.90:808/hls/9/index.m3u8
广西卫视,http://110.72.60.83:808/hls/9/index.m3u8
湖南卫视,http://113.206.196.242:8005/udp/225.0.4.75:7980
浙江卫视,http://113.206.196.242:8005/udp/225.0.4.81:7980
江苏卫视,http://113.206.196.242:8005/udp/225.0.4.79:7980
安徽卫视,http://113.206.196.242:8005/udp/225.0.4.133:7980
广东卫视,http://113.206.196.242:8005/udp/225.0.4.84:7980
北京卫视,http://113.206.196.242:8005/udp/225.0.4.78:7980
天津卫视,http://113.206.196.242:8005/udp/225.0.4.82:7980
辽宁卫视,http://113.206.196.242:8005/udp/225.0.4.98:7980
东方卫视,http://113.206.196.242:8005/udp/225.0.4.80:7980
河北卫视,http://113.206.196.242:8005/udp/225.0.4.174:7980
贵州卫视,http://113.206.196.242:8005/udp/225.0.4.175:7980
山东卫视,http://113.206.196.242:8005/udp/225.0.4.199:7980
东南卫视,http://113.206.196.242:8005/udp/225.0.4.200:7980
黑龙江卫视,http://113.206.196.242:8005/udp/225.0.4.201:7980
深圳卫视,http://113.206.196.242:8005/udp/225.0.4.202:7980
江西卫视,http://113.206.196.242:8005/udp/225.0.4.203:7980
四川卫视,http://113.206.196.242:8005/udp/225.0.4.204:7980
重庆卫视,http://113.206.196.242:8005/udp/225.0.4.187:7980
湖南卫视,http://113.206.196.242:8004/udp/225.0.4.75:7980
